"task","user","system","elapsed","parallelism"
"Install MASS",7.154,1.727,10.747,NA
"Install lattice",8.812,1.63,10.875,NA
"Install BH",10.337,5.138,71.518,NA
"Write CSV, 10KB",0,0.00100000000000011,0.0280000000000058,NA
"Write CSV, 1MB",0.00600000000000023,0,0.0110000000000099,NA
"Write CSV, 100MB",0.549,0.0629999999999999,0.361999999999995,NA
"Write CSV, 1GB",5.49,0.597,6.687,NA
"Read CSV, 10KB",0.00200000000000067,0,0.00600000000000023,NA
"Read CSV, 1MB",0.00300000000000011,0.00099999999999989,0.012999999999991,NA
"Read CSV, 100MB",0.17,0.0569999999999999,0.422000000000011,NA
"Read CSV, 1GB",2.053,0.504,3.87,NA
"DD write, 1GB",0.00599999999999845,0.801,7.532,2
"DD write, 1GB",0.00999999999999979,1.934,15.702,4
"DD write, 1GB",0.038000000000002,4.638,31.644,8
"DD write, 1GB",0.0969999999999995,10.646,63.51,16
"DD read, 1GB",0.000999999999999446,0.00300000000000011,7.541,2
"DD read, 1GB",0.0220000000000002,1.737,15.92,4
"DD read, 1GB",0.0419999999999998,4.479,31.908,8
"DD read, 1GB",0.0980000000000025,9.327,63.905,16
"Write CSV, 100MB over 10 files",0.752000000000001,0.093,0.75200000000001,NA
"Read CSV, 100MB over 10 files",0.292000000000002,0.0530000000000004,1.00100000000003,NA
"Write CSV, 100MB over 100 files",0.702,0.0650000000000004,1.16999999999996,NA
"Read CSV, 100MB over 100 files",0.24,0.056,0.924000000000035,NA
"Write CSV, 100MB over 1000 files",0.791,0.119,3.24400000000003,NA
"Read CSV, 100MB over 1000 files",0.558000000000002,0.118,2.78900000000004,NA
"Write CSV, 100MB over 10000 files",2.458,0.691,22.592,NA
"Read CSV, 100MB over 10000 files",3.646,1.075,23.324,NA
"DD write, 10MB over 1000 files",0.913000000000004,1.257,4.185,2
"DD write, 10MB over 1000 files",2.837,4.267,5.36099999999999,4
"DD write, 10MB over 1000 files",6.949,10.142,9.65300000000002,8
"DD write, 10MB over 1000 files",15.002,21.803,19.777,16
"DD read, 10MB over 1000 files",0.971999999999994,1.17,3.72000000000003,2
"DD read, 10MB over 1000 files",2.829,4.154,4.80599999999998,4
"DD read, 10MB over 1000 files",7.085,10.639,7.60300000000001,8
"DD read, 10MB over 1000 files",14.698,22.831,13.794,16
"FST random reads, 100MB over 10*10MB reads",0.986000000000001,0.101999999999999,0.398000000000025,NA
"FST random reads, 100MB over 100*1MB reads",2.571,0.0509999999999993,0.882000000000062,NA
"FST random reads, 100MB over 1000*100KB reads",2.591,0.142,2.19900000000007,NA
"FST random reads, 100MB over 10000*10KB reads",1.064,0.581,13.37,NA
"Read 14 days of CRAN logs with fread",38.029,2.634,30.446,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",31.427,5.37999999999999,20.294,NA
