"task","user","system","elapsed","parallelism"
"Install MASS",7.342,1.835,28.583,NA
"Install lattice",8.98,1.684,19.537,NA
"Install BH",10.248,19.743,432.225,NA
"Write CSV, 10KB",0.00200000000000022,0,0.0179999999999154,NA
"Write CSV, 1MB",0.00699999999999967,0,0.0679999999999836,NA
"Write CSV, 100MB",0.529,0.0600000000000001,0.656999999999925,NA
"Write CSV, 1GB",5.312,0.576,5.98300000000006,NA
"Read CSV, 10KB",0.00199999999999889,0,0.0229999999999109,NA
"Read CSV, 1MB",0.00200000000000067,0.00199999999999978,0.05600000000004,NA
"Read CSV, 100MB",0.183999999999999,0.0600000000000001,1.98299999999995,NA
"Read CSV, 1GB",1.96,0.541,14.347,NA
"DD write, 1GB",0.00999999999999979,0.703000000000002,5.98299999999995,2
"DD write, 1GB",0.0130000000000017,1.989,11.933,4
"DD write, 1GB",0.0429999999999993,4.493,24.0039999999999,8
"DD write, 1GB",0.103999999999999,10.275,59.424,16
"DD read, 1GB",0.00300000000000011,0.463999999999999,9.03800000000001,2
"DD read, 1GB",0.0119999999999987,1.423,14.386,4
"DD read, 1GB",0.0340000000000007,3.244,26.563,8
"DD read, 1GB",0.077,6.71500000000001,50.086,16
"Write CSV, 100MB over 10 files",0.696,0.0800000000000001,1.55099999999993,NA
"Read CSV, 100MB over 10 files",0.252000000000001,0.069,6.78200000000004,NA
"Write CSV, 100MB over 100 files",0.731999999999999,0.0760000000000005,6.71499999999992,NA
"Read CSV, 100MB over 100 files",0.277999999999999,0.0679999999999996,4.47199999999998,NA
"Write CSV, 100MB over 1000 files",1.052,0.258,18.419,NA
"Read CSV, 100MB over 1000 files",0.786000000000001,0.265,15.524,NA
"Write CSV, 100MB over 10000 files",3.818,9.486,159.441,NA
"Read CSV, 100MB over 10000 files",5.372,10.421,152.411,NA
"DD write, 10MB over 1000 files",1.066,1.64200000000001,26.145,2
"DD write, 10MB over 1000 files",3.268,5.705,87.347,4
"DD write, 10MB over 1000 files",7.487,16.24,186.586,8
"DD write, 10MB over 1000 files",15.883,36.655,433.222,16
"DD read, 10MB over 1000 files",0.981000000000002,1.29999999999999,13.846,2
"DD read, 10MB over 1000 files",3.058,5.02499999999999,14.4679999999998,4
"DD read, 10MB over 1000 files",7.046,12.58,14.825,8
"DD read, 10MB over 1000 files",14.955,26.703,17.6589999999999,16
"FST random reads, 100MB over 10*10MB reads",1.513,0.0590000000000011,1.3119999999999,NA
"FST random reads, 100MB over 100*1MB reads",6.808,0.0829999999999984,3.78899999999976,NA
"FST random reads, 100MB over 1000*100KB reads",8.256,0.154,17.8130000000001,NA
"FST random reads, 100MB over 10000*10KB reads",1.073,0.568999999999999,87.7189999999996,NA
"Read 14 days of CRAN logs with fread",0.00300000000000011,0,0.0109999999999673,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",0.00400000000000489,0,0.00799999999981083,NA
