filesystem,cloud,test-name,requests-count,requests-time,requests-ops-volume,requests-iops,requests-throughput,generated-count,generated-time,generated-ops-volume,generated-iops,generated-throughput,min,avg,max,mdev
efs-regional,AWS,ioping-ping,49,132.7 ms,196 KiB,369,1.44 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,940.8 us,2.71 ms,4.20 ms,820.1 us
cross-az-lustre,AWS,ioping-large-ping,49,289.1 ms,49 MiB,169,169.5 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,5.04 ms,5.90 ms,7.66 ms,639.4 us
rhel8-nfs-same-subnet,AWS,ioping-linear-async-write,6.66 k,29.1 s,1.63 GiB,228,57.2 MiB/s,6.66 k,30.0 s,1.63 GiB,222,55.5 MiB/s,2.60 ms,4.37 ms,25.0 ms,704.5 us
efs-regional,AWS,ioping-linear-async-write,2.63 k,29.6 s,657.5 MiB,88,22.2 MiB/s,2.63 k,30.0 s,657.8 MiB,87,21.9 MiB/s,8.94 ms,11.3 ms,27.2 ms,1.43 ms
same-az-ontap,AWS,ioping-ping,49,25.2 ms,196 KiB,1.95 k,7.61 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,361.1 us,513.5 us,1.45 ms,162.3 us
efs-single-zone,AWS,ioping-linear-async-read,20.0 k,29.5 s,4.89 GiB,678,169.7 MiB/s,20.0 k,30.0 s,4.89 GiB,667,166.9 MiB/s,1.05 ms,1.47 ms,23.3 ms,929.5 us
same-az-zfs,AWS,ioping-ping,49,22.1 ms,196 KiB,2.22 k,8.66 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,344.7 us,451.0 us,814.2 us,81.1 us
ebs-local-storage,AWS,ioping-linear-async-write,11.0 k,28.4 s,2.70 GiB,388,97.2 MiB/s,11.0 k,30.0 s,2.70 GiB,368,92.0 MiB/s,1.58 ms,2.57 ms,13.6 ms,291.4 us
cross-az-lustre,AWS,ioping-ping,49,64.5 ms,196 KiB,759,2.97 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,1.12 ms,1.32 ms,1.52 ms,99.7 us
efs-single-zone,AWS,ioping-linear-async-write,3.38 k,29.5 s,844 MiB,114,28.6 MiB/s,3.38 k,30.0 s,844.2 MiB,112,28.1 MiB/s,6.71 ms,8.74 ms,21.8 ms,998.0 us
same-az-zfs,AWS,ioping-linear-async-read,77.6 k,28.4 s,18.9 GiB,2.73 k,682.1 MiB/s,77.6 k,30.0 s,18.9 GiB,2.58 k,646.4 MiB/s,301.4 us,366.5 us,965.2 us,52.0 us
ebs-local-storage,AWS,ioping-linear-async-read,22.6 k,29.1 s,5.52 GiB,778,194.6 MiB/s,22.6 k,30.0 s,5.52 GiB,754,188.5 MiB/s,397.7 us,1.28 ms,4.54 ms,184.2 us
efs-regional,AWS,ioping-large-ping,49,528.6 ms,49 MiB,92,92.7 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,9.44 ms,10.8 ms,18.2 ms,1.34 ms
same-az-zfs,AWS,ioping-large-ping,49,93.6 ms,49 MiB,523,523.5 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,1.65 ms,1.91 ms,2.36 ms,125.2 us
efs-single-zone,AWS,ioping-ping,49,106.6 ms,196 KiB,459,1.80 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,836.2 us,2.18 ms,3.72 ms,664.6 us
rhel8-nfs-same-subnet,AWS,ioping-large-ping,49,108.6 ms,49 MiB,451,451.0 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,1.66 ms,2.22 ms,2.65 ms,213.4 us
efs-regional,AWS,ioping-linear-async-read,17.0 k,29.5 s,4.15 GiB,577,144.3 MiB/s,17.0 k,30.0 s,4.15 GiB,566,141.7 MiB/s,1.18 ms,1.73 ms,25.5 ms,785.0 us
same-az-ontap,AWS,ioping-large-ping,49,159.4 ms,49 MiB,307,307.5 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,2.83 ms,3.25 ms,3.84 ms,240.0 us
rhel8-nfs-same-subnet,AWS,ioping-ping,49,25.1 ms,196 KiB,1.96 k,7.64 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,434.3 us,511.4 us,834.6 us,81.6 us
same-az-lustre,AWS,ioping-large-ping,49,141.9 ms,49 MiB,345,345.3 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,2.45 ms,2.90 ms,3.60 ms,285.7 us
same-az-ontap,AWS,ioping-linear-async-write,23.9 k,28.2 s,5.84 GiB,847,211.9 MiB/s,23.9 k,30.0 s,5.84 GiB,797,199.4 MiB/s,930.7 us,1.18 ms,7.38 ms,324.8 us
cross-az-lustre,AWS,ioping-linear-async-read,8.60 k,29.2 s,2.10 GiB,294,73.6 MiB/s,8.60 k,30.0 s,2.10 GiB,286,71.6 MiB/s,1.67 ms,3.40 ms,6.94 ms,788.8 us
same-az-zfs,AWS,ioping-linear-async-write,22.0 k,27.3 s,5.38 GiB,806,201.7 MiB/s,22.0 k,30.0 s,5.38 GiB,734,183.5 MiB/s,902.9 us,1.24 ms,5.26 ms,130.8 us
rhel8-nfs-same-subnet,AWS,ioping-linear-async-read,69.4 k,28.7 s,16.9 GiB,2.42 k,604.6 MiB/s,69.4 k,30.0 s,16.9 GiB,2.31 k,578.2 MiB/s,299.1 us,413.5 us,1.02 ms,53.5 us
ebs-local-storage,AWS,ioping-ping,49,20.9 ms,196 KiB,2.34 k,9.14 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,281.1 us,427.3 us,828.1 us,116.9 us
same-az-lustre,AWS,ioping-linear-async-read,12.9 k,29.1 s,3.14 GiB,442,110.7 MiB/s,12.9 k,30.0 s,3.14 GiB,429,107.3 MiB/s,625.0 us,2.26 ms,5.71 ms,826.7 us
same-az-lustre,AWS,ioping-linear-async-write,2.26 k,29.5 s,566 MiB,76,19.2 MiB/s,2.27 k,30.0 s,566.2 MiB,75,18.9 MiB/s,4.91 ms,13.0 ms,15.3 ms,1.77 ms
ebs-local-storage,AWS,ioping-large-ping,49,66.9 ms,49 MiB,732,732.1 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,1.13 ms,1.37 ms,1.70 ms,114.7 us
same-az-lustre,AWS,ioping-ping,49,36.8 ms,196 KiB,1.33 k,5.21 MiB/s,50,49.0 s,200 KiB,1,4.08 KiB/s,486.0 us,750.1 us,1.02 ms,138.4 us
same-az-ontap,AWS,ioping-linear-async-read,53.7 k,29.1 s,13.1 GiB,1.84 k,461.2 MiB/s,53.7 k,30.0 s,13.1 GiB,1.79 k,447.1 MiB/s,416.0 us,542.1 us,5.07 ms,120.0 us
efs-single-zone,AWS,ioping-large-ping,49,423.5 ms,49 MiB,115,115.7 MiB/s,50,49.0 s,50 MiB,1,1.02 MiB/s,6.97 ms,8.64 ms,13.6 ms,1.59 ms
cross-az-lustre,AWS,ioping-linear-async-write,2.27 k,29.5 s,568 MiB,76,19.2 MiB/s,2.27 k,30.0 s,568.2 MiB,75,18.9 MiB/s,7.67 ms,13.0 ms,26.8 ms,1.59 ms
