filesystem,run-number(ms),venv-creation(ms),pip-update(ms),pytorch-install(ms),cleanup(ms)
elastic-san-same-zone,1,2925,1660,71894,1333
elastic-san-same-zone,2,2883,1164,47604,678
elastic-san-same-zone,3,2884,1171,49964,695
managed-disk-local-storage-premium-ssd-lrs,1,4115,2090,125828,737
managed-disk-local-storage-premium-ssd-lrs,2,3194,1200,88237,863
managed-disk-local-storage-premium-ssd-lrs,3,3269,1184,84872,609
netapp-premium,1,8072,4712,153262,11975
netapp-premium,2,8120,4641,141485,12108
netapp-premium,3,8119,5178,125611,11613
netapp-standard,1,6946,3991,312672,9715
netapp-standard,2,6974,3863,300837,9671
netapp-standard,3,6949,3799,220231,9715
netapp-ultra,1,6612,3804,114045,9146
netapp-ultra,2,6666,3599,101889,8916
netapp-ultra,3,6670,3642,94629,9140
storage-acct-azure-files,1,42755,25075,502773,86903
storage-acct-azure-files,2,44411,25308,503348,85607
storage-acct-azure-files,3,44379,24696,461804,85550
