filesystem,cloud,test-name,run-number,venv-creation(ms),pip-update(ms),pytorch-install(ms),cleanup(ms)
gfs-zonal-ssd,GCP,PIP venv Pytorch Install,1,16931,9042,480634,52399
gfs-zonal-ssd,GCP,PIP venv Pytorch Install,2,16781,9664,268129,50382
gfs-zonal-ssd,GCP,PIP venv Pytorch Install,3,16743,8965,245447,51073
gfs-basic-ssd,GCP,PIP venv Pytorch Install,3,12949,6904,158514,52862
gfs-ent-ssd,GCP,PIP venv Pytorch Install,1,19945,11275,353344,51398
gfs-regional-ssd,GCP,PIP venv Pytorch Install,3,19388,37239,246578,55391
gfs-regional-ssd,GCP,PIP venv Pytorch Install,2,20617,25954,267956,60549
gfs-basic-ssd,GCP,PIP venv Pytorch Install,2,12852,6524,157739,48602
gfs-ent-ssd,GCP,PIP venv Pytorch Install,3,19453,9913,247279,56499
gfs-basic-ssd,GCP,PIP venv Pytorch Install,1,10562,5955,1428082,48005
gfs-regional-ssd,GCP,PIP venv Pytorch Install,1,17473,27760,293571,57565
gfs-ent-ssd,GCP,PIP venv Pytorch Install,2,19683,11218,263525,56676
