filesystem,cloud,test-name,elapsed
gfs-regional-ssd,GCP,Install MASS,16.817
gfs-regional-ssd,GCP,Install lattice,16.766
gfs-regional-ssd,GCP,Install BH,158.413
gfs-regional-ssd,GCP,"Write CSV, 10KB",0.013
gfs-regional-ssd,GCP,"Write CSV, 1MB",0.028
gfs-regional-ssd,GCP,"Write CSV, 100MB",1.028
gfs-regional-ssd,GCP,"Write CSV, 1GB",9.355
gfs-regional-ssd,GCP,"Read CSV, 10KB",0.024
gfs-regional-ssd,GCP,"Read CSV, 1MB",0.051
gfs-regional-ssd,GCP,"Read CSV, 100MB",0.567
gfs-regional-ssd,GCP,"Read CSV, 1GB",3.863
gfs-regional-ssd,GCP,"DD write, 1GB, 2 Parallel Ops",12.37
gfs-regional-ssd,GCP,"DD write, 1GB, 4 Parallel Ops",25.336
gfs-regional-ssd,GCP,"DD write, 1GB, 8 Parallel Ops",48.41
gfs-regional-ssd,GCP,"DD write, 1GB, 16 Parallel Ops",98.064
gfs-regional-ssd,GCP,"DD read, 1GB, 2 Parallel Ops",4.113
gfs-regional-ssd,GCP,"DD read, 1GB, 4 Parallel Ops",6.258
gfs-regional-ssd,GCP,"DD read, 1GB, 8 Parallel Ops",10.977
gfs-regional-ssd,GCP,"DD read, 1GB, 16 Parallel Ops",20.848
gfs-regional-ssd,GCP,"Write CSV, 100MB over 10 files",1.51
gfs-regional-ssd,GCP,"Read CSV, 100MB over 10 files",2.133
gfs-regional-ssd,GCP,"Write CSV, 100MB over 100 files",2.89
gfs-regional-ssd,GCP,"Read CSV, 100MB over 100 files",2.297
gfs-regional-ssd,GCP,"Write CSV, 100MB over 1000 files",9.03
gfs-regional-ssd,GCP,"Read CSV, 100MB over 1000 files",8.678
gfs-regional-ssd,GCP,"Write CSV, 100MB over 10000 files",65.465
gfs-regional-ssd,GCP,"Read CSV, 100MB over 10000 files",42.453
gfs-regional-ssd,GCP,"DD write, 10MB over 1000 files, 2 Parallel Ops",7.857
gfs-regional-ssd,GCP,"DD write, 10MB over 1000 files, 4 Parallel Ops",8.561
gfs-regional-ssd,GCP,"DD write, 10MB over 1000 files, 8 Parallel Ops",17.532
gfs-regional-ssd,GCP,"DD write, 10MB over 1000 files, 16 Parallel Ops",32.942
gfs-regional-ssd,GCP,"DD read, 10MB over 1000 files, 2 Parallel Ops",4.194
gfs-regional-ssd,GCP,"DD read, 10MB over 1000 files, 4 Parallel Ops",4.294
gfs-regional-ssd,GCP,"DD read, 10MB over 1000 files, 8 Parallel Ops",4.387
gfs-regional-ssd,GCP,"DD read, 10MB over 1000 files, 16 Parallel Ops",5.228
gfs-regional-ssd,GCP,"FST random reads, 100MB over 10*10MB reads",0.693
gfs-regional-ssd,GCP,"FST random reads, 100MB over 100*1MB reads",1.968
gfs-regional-ssd,GCP,"FST random reads, 100MB over 1000*100KB reads",2.905
gfs-regional-ssd,GCP,"FST random reads, 100MB over 10000*10KB reads",10.509
gfs-regional-ssd,GCP,Read 14 days of CRAN logs with fread,37.855
gfs-regional-ssd,GCP,Sample 5000 rows from each of 14 CRAN logs with vroom,17.83
local-storage-ssd-persistent-disk,GCP,Install MASS,8.367
local-storage-ssd-persistent-disk,GCP,Install lattice,10.473
local-storage-ssd-persistent-disk,GCP,Install BH,13.923
local-storage-ssd-persistent-disk,GCP,"Write CSV, 10KB",0.003
local-storage-ssd-persistent-disk,GCP,"Write CSV, 1MB",0.009
local-storage-ssd-persistent-disk,GCP,"Write CSV, 100MB",0.088
local-storage-ssd-persistent-disk,GCP,"Write CSV, 1GB",0.69
local-storage-ssd-persistent-disk,GCP,"Read CSV, 10KB",0.011
local-storage-ssd-persistent-disk,GCP,"Read CSV, 1MB",0.01
local-storage-ssd-persistent-disk,GCP,"Read CSV, 100MB",0.33
local-storage-ssd-persistent-disk,GCP,"Read CSV, 1GB",3.686
local-storage-ssd-persistent-disk,GCP,"DD write, 1GB, 2 Parallel Ops",7.044
local-storage-ssd-persistent-disk,GCP,"DD write, 1GB, 4 Parallel Ops",14.15
local-storage-ssd-persistent-disk,GCP,"DD write, 1GB, 8 Parallel Ops",28.391
local-storage-ssd-persistent-disk,GCP,"DD write, 1GB, 16 Parallel Ops",56.853
local-storage-ssd-persistent-disk,GCP,"DD read, 1GB, 2 Parallel Ops",7.076
local-storage-ssd-persistent-disk,GCP,"DD read, 1GB, 4 Parallel Ops",14.182
