filesystem,cloud,test-name,elapsed
managed-disk-local-storage-premium-ssd-lrs,AZURE,Install MASS,7.02
managed-disk-local-storage-premium-ssd-lrs,AZURE,Install lattice,8.628
managed-disk-local-storage-premium-ssd-lrs,AZURE,Install BH,12.679
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 10KB",0.078
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 1MB",0.006
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 100MB",0.151
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 1GB",1.411
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 10KB",0.003
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 1MB",0.004
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 100MB",0.081
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 1GB",1.107
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 1GB, 2 Parallel Ops",12.062
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 1GB, 4 Parallel Ops",27.25
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 1GB, 8 Parallel Ops",53.0
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 1GB, 16 Parallel Ops",103.44
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 1GB, 2 Parallel Ops",2.334
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 1GB, 4 Parallel Ops",5.166
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 1GB, 8 Parallel Ops",10.361
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 1GB, 16 Parallel Ops",20.836
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 100MB over 10 files",0.275
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 100MB over 10 files",0.091
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 100MB over 100 files",0.697
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 100MB over 100 files",0.279
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 100MB over 1000 files",0.758
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 100MB over 1000 files",0.717
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Write CSV, 100MB over 10000 files",1.989
managed-disk-local-storage-premium-ssd-lrs,AZURE,"Read CSV, 100MB over 10000 files",4.531
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 10MB over 1000 files, 2 Parallel Ops",2.29
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 10MB over 1000 files, 4 Parallel Ops",2.892
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 10MB over 1000 files, 8 Parallel Ops",5.362
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD write, 10MB over 1000 files, 16 Parallel Ops",10.993
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 10MB over 1000 files, 2 Parallel Ops",2.039
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 10MB over 1000 files, 4 Parallel Ops",2.296
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 10MB over 1000 files, 8 Parallel Ops",3.308
managed-disk-local-storage-premium-ssd-lrs,AZURE,"DD read, 10MB over 1000 files, 16 Parallel Ops",6.13
managed-disk-local-storage-premium-ssd-lrs,AZURE,"FST random reads, 100MB over 10*10MB reads",0.056
managed-disk-local-storage-premium-ssd-lrs,AZURE,"FST random reads, 100MB over 100*1MB reads",0.067
managed-disk-local-storage-premium-ssd-lrs,AZURE,"FST random reads, 100MB over 1000*100KB reads",0.162
